N,P,K,temperature,humidity,ph,rainfall,label
32.08,66.44,15.86,29.86,51.73,6.31,109.57,pigeonpeas
42.57,72.58,21.51,32.7,51.17,5.66,136.74,pigeonpeas
29.11,58.79,20.84,32.07,40.58,5.71,125.69,pigeonpeas
39.3,67.78,16.66,33.84,42.83,6.93,124.4,pigeonpeas
26.91,71.63,16.78,28.66,48.85,6.9,100.81,pigeonpeas
9.8,62.74,21.38,35.8,49.61,5.99,160.96,pigeonpeas
15.81,63.06,20.48,33.74,49.31,6.27,79.01,pigeonpeas
23.39,67.27,17.54,32.66,55.29,6.04,138.84,pigeonpeas
21.48,63.97,21.53,32.93,48.83,6.39,151.08,pigeonpeas
14.69,70.8,19.16,33.67,59.98,5.39,119.04,pigeonpeas
25.7,61.08,24.34,30.14,49.03,6.38,107.95,pigeonpeas
25.03,66.59,19.17,32.24,49.19,5.3,142.24,pigeonpeas
38.47,65.09,20.56,34.4,44.57,7.31,139.55,pigeonpeas
37.7,61.33,24.55,34.63,55.96,6.4,129.41,pigeonpeas
35.0,65.7,15.08,29.43,51.34,6.44,133.73,pigeonpeas
35.12,55.24,20.36,27.5,57.25,6.19,144.44,pigeonpeas
22.1,71.4,22.6,34.1,51.69,6.61,119.09,pigeonpeas
32.85,73.25,22.68,30.49,54.76,5.44,147.88,pigeonpeas
30.32,55.65,17.1,31.72,50.62,5.49,143.75,pigeonpeas
29.07,64.03,18.11,35.38,62.85,5.95,121.23,pigeonpeas
30.57,63.21,19.65,34.53,40.57,7.07,136.64,pigeonpeas
24.93,64.55,19.91,27.74,61.84,6.28,144.97,pigeonpeas
33.45,59.89,21.18,31.76,57.79,4.92,132.77,pigeonpeas
23.73,67.16,21.18,30.55,48.05,6.18,114.83,pigeonpeas
32.76,63.15,12.73,31.47,46.01,5.23,107.16,pigeonpeas
28.18,71.64,20.78,30.83,55.35,5.96,119.37,pigeonpeas
20.29,56.24,19.03,32.93,51.9,5.99,113.72,pigeonpeas
31.3,58.41,21.94,29.74,47.8,5.33,123.72,pigeonpeas
33.6,67.58,22.45,33.94,45.6,6.04,117.45,pigeonpeas
35.82,59.02,22.23,34.96,63.94,5.99,151.03,pigeonpeas
41.76,61.91,16.16,27.33,56.95,5.07,126.62,pigeonpeas
30.23,65.93,21.06,33.11,60.49,5.65,119.77,pigeonpeas
22.67,69.15,22.25,33.74,59.9,5.51,172.51,pigeonpeas
37.02,68.68,24.45,27.94,49.22,5.79,151.23,pigeonpeas
20.94,68.79,23.43,34.41,54.27,5.63,115.95,pigeonpeas
35.31,68.9,19.9,31.35,39.84,5.58,178.01,pigeonpeas
19.5,65.95,22.52,29.05,53.65,6.84,135.28,pigeonpeas
45.43,56.66,22.65,32.02,57.32,6.53,118.5,pigeonpeas
28.93,55.71,21.51,33.32,56.49,6.91,143.27,pigeonpeas
28.43,60.59,18.22,35.76,61.48,6.1,136.04,pigeonpeas
21.85,70.86,21.66,37.84,47.01,6.01,140.21,pigeonpeas
31.54,63.92,17.82,34.92,57.01,5.68,165.5,pigeonpeas
34.81,65.67,20.2,34.02,47.11,6.27,86.57,pigeonpeas
32.98,57.19,23.76,31.59,51.18,5.86,128.52,pigeonpeas
36.37,52.56,23.19,33.43,44.96,5.58,172.72,pigeonpeas
21.59,59.23,22.84,33.43,46.64,6.39,111.92,pigeonpeas
34.38,70.31,21.33,33.49,63.51,6.25,108.41,pigeonpeas
30.31,75.43,17.46,31.51,55.1,6.22,112.9,pigeonpeas
34.51,76.6,20.49,30.01,42.82,6.41,159.84,pigeonpeas
30.47,64.99,18.53,29.5,57.72,6.82,100.22,pigeonpeas
37.44,67.87,23.5,28.81,43.96,6.16,146.31,pigeonpeas
38.73,68.53,19.39,29.68,60.19,5.65,171.64,pigeonpeas
25.72,72.95,21.7,32.12,49.25,6.04,144.64,pigeonpeas
27.98,62.03,19.59,32.72,39.2,6.54,112.96,pigeonpeas
20.29,56.56,15.52,28.77,48.07,7.47,123.17,pigeonpeas
28.61,67.0,20.33,32.29,45.03,7.16,175.66,pigeonpeas
16.98,59.88,19.3,29.85,55.66,5.79,183.71,pigeonpeas
34.94,66.06,22.57,35.54,48.98,5.74,136.76,pigeonpeas
32.89,65.7,16.06,30.29,52.04,6.2,179.38,pigeonpeas
18.84,67.53,23.72,38.75,49.97,6.56,147.82,pigeonpeas
28.72,64.51,21.09,25.54,56.76,6.33,129.99,pigeonpeas
40.29,61.63,18.99,37.98,47.3,5.91,131.69,pigeonpeas
32.75,66.04,16.77,31.04,48.7,6.2,144.58,pigeonpeas
30.11,56.12,22.66,33.19,61.15,6.53,159.78,pigeonpeas
30.42,71.73,21.31,32.23,66.7,6.81,147.91,pigeonpeas
19.52,58.56,20.73,32.9,48.66,6.34,170.74,pigeonpeas
31.85,59.29,19.72,30.29,50.08,5.99,124.25,pigeonpeas
19.66,64.36,18.6,24.44,65.33,6.93,126.53,pigeonpeas
27.62,59.14,24.24,37.72,53.48,6.89,138.94,pigeonpeas
19.15,62.94,20.33,31.25,51.13,6.19,133.18,pigeonpeas
27.83,59.7,18.21,28.97,58.61,4.93,160.96,pigeonpeas
36.16,63.49,13.49,31.51,52.1,5.62,123.41,pigeonpeas
37.06,68.32,17.69,28.11,50.46,6.12,146.16,pigeonpeas
24.15,67.56,24.84,34.74,52.2,6.14,126.97,pigeonpeas
34.88,43.58,20.11,28.1,49.36,4.52,56.13,mothbeans
27.12,50.63,18.67,30.44,47.02,9.53,32.84,mothbeans
30.22,50.47,18.01,28.85,60.5,3.5,58.16,mothbeans
11.92,41.46,24.07,26.84,45.16,6.43,75.76,mothbeans
16.05,40.93,23.74,31.72,51.85,4.74,76.08,mothbeans
37.47,51.74,17.97,27.9,51.5,7.29,68.82,mothbeans
33.0,40.77,23.44,28.63,56.79,9.13,39.99,mothbeans
27.28,44.18,16.08,28.69,68.2,3.76,52.14,mothbeans
31.5,48.27,19.72,25.4,53.95,5.52,27.86,mothbeans
34.97,53.49,20.13,28.46,59.21,7.11,62.67,mothbeans
25.64,55.7,20.8,28.39,44.56,7.22,43.14,mothbeans
23.51,42.4,17.33,32.25,60.82,9.87,38.74,mothbeans
27.95,39.42,18.26,26.16,60.25,6.11,64.52,mothbeans
31.28,61.9,16.3,30.52,59.67,5.17,63.83,mothbeans
29.6,46.08,17.94,26.56,65.31,6.75,61.3,mothbeans
22.56,42.63,22.7,25.3,49.9,6.81,53.75,mothbeans
26.38,49.97,21.73,29.47,46.34,6.29,65.94,mothbeans
33.09,38.92,20.88,24.04,52.79,9.83,41.84,mothbeans
22.29,52.28,16.14,26.73,56.23,5.72,49.85,mothbeans
32.15,50.13,20.67,27.32,54.81,6.55,57.65,mothbeans
24.39,46.36,17.53,27.93,47.43,4.94,55.41,mothbeans
28.83,52.39,18.92,28.82,55.94,7.47,43.21,mothbeans
28.43,49.78,20.02,23.83,53.5,10.0,48.45,mothbeans
22.95,49.83,20.78,30.39,44.64,7.94,59.14,mothbeans
26.61,49.62,22.57,29.74,45.36,8.08,51.77,mothbeans
27.96,47.96,19.62,30.38,51.98,4.93,48.07,mothbeans
28.62,55.18,21.51,26.3,68.03,7.18,66.85,mothbeans
26.55,50.83,22.1,30.44,59.11,8.17,48.96,mothbeans
23.93,49.58,22.33,27.55,59.16,9.11,42.19,mothbeans
22.27,46.62,20.77,26.95,60.95,7.44,52.94,mothbeans
18.53,39.28,20.7,23.73,58.83,6.49,88.98,mothbeans
41.92,46.37,19.73,29.99,63.14,4.09,32.4,mothbeans
23.61,51.14,21.24,30.14,45.0,3.5,62.15,mothbeans
22.32,34.88,20.36,29.59,51.74,6.01,50.71,mothbeans
25.18,39.07,18.21,29.04,54.51,7.02,41.3,mothbeans
26.37,33.89,20.45,30.86,43.29,5.8,56.2,mothbeans
35.33,44.7,18.27,24.06,53.15,10.0,55.62,mothbeans
27.36,49.51,19.97,26.37,57.65,7.12,52.7,mothbeans
21.4,55.65,21.66,26.89,58.76,5.94,43.7,mothbeans
22.75,36.43,21.18,24.34,44.82,3.5,51.53,mothbeans
26.56,45.46,17.39,25.66,55.4,5.86,56.06,mothbeans
21.97,48.63,23.26,29.17,49.92,7.17,49.79,mothbeans
27.55,45.46,19.59,28.42,46.29,5.1,36.88,mothbeans
17.5,39.89,20.4,26.21,55.71,6.81,30.35,mothbeans
31.59,52.57,17.52,28.84,47.15,6.91,38.27,mothbeans
16.29,45.11,19.69,27.2,45.1,6.1,55.53,mothbeans
27.22,48.64,18.32,30.34,45.15,7.54,65.8,mothbeans
30.51,46.23,18.68,30.07,43.61,5.17,48.03,mothbeans
35.24,49.87,17.58,27.38,48.66,5.6,63.51,mothbeans
18.93,57.55,22.07,30.18,49.61,6.51,36.38,mothbeans
24.22,50.59,23.24,25.79,50.22,6.5,36.8,mothbeans
31.2,42.98,19.51,27.1,47.57,6.74,50.07,mothbeans
25.18,42.95,20.8,31.31,53.37,8.37,36.86,mothbeans
28.49,40.64,16.31,26.52,59.95,8.29,55.23,mothbeans
17.92,46.27,20.75,28.35,40.98,5.3,51.78,mothbeans
30.85,33.77,19.59,28.29,57.81,7.88,59.05,mothbeans
22.5,35.57,19.02,30.0,61.21,7.9,57.33,mothbeans
29.87,44.02,19.67,31.34,46.61,9.37,48.88,mothbeans
35.78,38.71,21.46,26.53,43.65,7.11,63.86,mothbeans
22.22,38.13,19.77,27.83,55.93,8.29,51.83,mothbeans
39.1,48.9,19.13,24.78,50.86,6.2,63.3,mothbeans
30.39,40.13,20.43,29.34,62.05,8.19,61.06,mothbeans
27.88,49.93,23.12,25.33,50.32,5.49,56.77,mothbeans
35.19,43.77,14.02,27.18,58.21,7.62,57.32,mothbeans
25.75,39.51,21.29,26.33,66.15,7.68,45.97,mothbeans
23.68,46.92,19.4,30.23,53.67,5.56,73.77,mothbeans
27.81,52.31,18.48,28.73,54.44,3.68,75.17,mothbeans
35.57,45.02,17.24,28.7,53.04,7.33,54.66,mothbeans
30.66,56.55,21.42,25.9,61.02,9.42,87.96,mothbeans
20.48,49.02,14.79,29.11,49.07,9.88,43.79,mothbeans
16.94,44.55,15.06,29.5,39.59,6.8,29.12,mothbeans
25.5,57.77,20.9,26.27,52.3,6.78,57.82,mothbeans
18.96,51.2,13.24,26.74,49.45,7.78,52.75,mothbeans
18.72,41.34,20.5,27.84,48.88,5.97,60.33,mothbeans
24.26,46.95,25.42,25.15,40.93,8.02,44.87,mothbeans
25.51,42.62,19.35,31.2,57.51,8.15,36.57,mothbeans
20.31,29.76,17.98,29.91,55.73,6.39,52.25,mothbeans
23.19,48.78,21.91,24.77,54.37,8.27,47.83,mothbeans
31.88,65.09,19.74,28.79,47.89,7.04,57.68,mothbeans
28.72,41.13,20.52,30.92,55.3,8.31,49.83,mothbeans
32.19,49.25,17.62,28.64,46.3,5.72,54.63,mothbeans
29.36,40.07,22.63,29.14,48.1,4.25,50.87,mothbeans
24.71,48.21,19.09,23.99,50.07,6.25,59.63,mothbeans
23.14,57.99,15.22,30.62,51.1,8.15,53.4,mothbeans
34.62,45.08,17.25,30.84,51.79,7.11,66.39,mothbeans
21.05,51.22,18.53,27.74,52.95,4.31,43.74,mothbeans
35.94,53.04,19.84,28.49,50.66,8.95,50.25,mothbeans
28.95,54.66,18.06,31.12,42.93,9.4,48.31,mothbeans
25.98,35.69,18.86,25.92,48.7,6.53,63.28,mothbeans
28.8,49.42,17.26,26.24,63.74,5.56,71.13,mothbeans
25.98,47.51,22.68,30.54,51.81,6.12,51.87,mothbeans
29.61,53.07,20.01,29.24,62.74,7.37,56.01,mothbeans
18.01,31.06,20.97,27.81,49.28,7.15,51.82,mothbeans
34.55,48.04,18.13,29.98,51.14,7.61,47.13,mothbeans
23.44,48.03,20.03,28.96,50.82,3.77,47.63,mothbeans
32.46,45.64,19.38,29.97,48.05,4.24,50.69,mothbeans
24.47,41.46,19.56,28.98,52.44,7.25,72.9,mothbeans
25.36,49.24,18.73,26.31,48.84,5.97,56.54,mothbeans
42.18,43.02,18.96,27.87,54.97,7.18,66.95,mothbeans
12.34,32.58,18.76,30.19,42.71,3.5,58.93,mothbeans
29.02,40.69,17.54,27.77,85.28,6.54,50.59,mungbean
9.66,42.14,17.18,28.31,83.65,6.9,35.88,mungbean
27.78,50.99,24.64,28.14,85.81,6.25,32.55,mungbean
32.78,47.47,22.95,27.47,86.3,7.17,50.12,mungbean
29.23,47.55,16.07,29.52,83.47,6.83,37.73,mungbean
20.13,56.47,19.13,29.59,84.8,6.24,53.08,mungbean
23.81,51.87,20.06,27.34,85.41,7.25,50.58,mungbean
27.14,54.22,20.53,28.66,82.27,6.76,53.97,mungbean
22.27,56.4,19.77,27.83,87.49,6.63,52.25,mungbean
25.68,47.13,21.23,28.72,80.01,6.42,53.31,mungbean
26.67,44.23,16.6,27.69,79.95,6.67,43.76,mungbean
21.46,47.07,20.91,30.07,81.22,6.99,53.58,mungbean
22.63,48.77,18.86,28.64,88.77,6.85,50.68,mungbean
24.81,38.22,19.48,29.4,81.18,6.44,48.29,mungbean
21.35,42.55,18.94,27.48,82.56,6.88,39.33,mungbean
17.51,43.56,21.83,28.35,83.84,6.71,36.59,mungbean
30.59,49.9,18.98,29.25,82.18,6.98,48.47,mungbean
25.4,47.38,19.73,29.42,82.31,6.51,53.98,mungbean
23.78,53.13,24.25,28.2,86.7,6.41,52.22,mungbean
28.75,50.46,18.39,27.25,86.26,6.18,45.52,mungbean
33.38,48.7,24.87,29.27,83.37,6.71,47.2,mungbean
17.61,41.62,18.6,26.97,85.12,6.64,37.04,mungbean
30.03,51.97,20.57,28.26,86.48,6.87,49.42,mungbean
22.35,49.23,22.99,28.05,90.24,6.57,47.7,mungbean
23.3,48.9,15.64,28.09,82.27,6.73,53.72,mungbean
31.54,32.68,25.11,28.72,83.06,6.74,48.6,mungbean
23.33,48.74,18.48,28.2,83.28,6.34,48.41,mungbean
31.16,50.72,22.05,28.74,83.67,6.91,39.02,mungbean
21.87,41.47,22.7,29.21,86.22,6.97,42.0,mungbean
29.68,46.72,22.12,28.41,84.04,6.84,52.98,mungbean
23.32,47.12,17.35,26.63,85.5,6.85,49.14,mungbean
15.32,45.31,14.45,29.53,82.28,7.01,53.41,mungbean
21.87,40.42,20.88,27.87,85.26,6.58,36.37,mungbean
13.56,48.92,18.6,28.09,86.74,6.99,45.8,mungbean
25.37,50.63,16.61,28.67,86.38,6.87,35.4,mungbean
22.74,42.01,20.25,28.86,88.74,6.58,44.39,mungbean
34.69,49.35,23.17,28.72,82.11,6.37,37.8,mungbean
31.64,54.93,24.62,29.13,87.91,6.55,40.27,mungbean
32.81,50.11,20.27,28.79,85.81,7.02,55.59,mungbean
30.9,52.79,21.29,28.15,86.89,6.35,54.09,mungbean
20.03,49.29,17.89,28.92,84.92,6.3,50.13,mungbean
23.89,53.01,20.0,28.8,82.61,6.55,44.63,mungbean
32.85,57.98,17.99,29.31,79.58,6.4,41.51,mungbean
19.05,37.6,21.03,28.34,85.95,6.87,49.16,mungbean
31.61,47.07,17.03,29.29,83.53,6.47,46.39,mungbean
21.79,44.89,20.86,28.76,82.76,6.58,54.21,mungbean
30.6,60.47,22.95,29.36,81.53,6.89,47.17,mungbean
24.06,48.55,22.36,28.88,82.8,6.89,43.52,mungbean
28.85,45.6,19.45,29.07,82.4,7.19,36.12,mungbean
23.76,49.81,21.46,28.42,84.86,6.8,46.06,mungbean
36.21,52.75,22.18,27.78,84.8,6.62,41.21,mungbean
29.75,44.14,21.64,27.7,89.3,6.48,48.87,mungbean
32.45,43.93,22.13,27.58,88.63,6.7,43.77,mungbean
25.63,52.56,18.54,27.94,84.45,6.41,58.88,mungbean
23.96,52.7,20.52,27.76,84.99,6.9,46.32,mungbean
34.96,53.88,22.3,28.16,82.3,6.55,48.73,mungbean
30.91,33.93,19.98,28.62,84.31,7.02,50.14,mungbean
35.69,46.15,22.34,29.73,88.28,6.43,45.91,mungbean
25.34,50.56,21.72,27.87,85.17,6.2,56.51,mungbean
24.3,47.85,19.23,29.36,77.91,6.7,46.84,mungbean
24.66,58.29,17.78,29.08,85.89,7.02,43.33,mungbean
22.92,54.35,21.06,27.34,83.65,6.8,52.74,mungbean
23.25,29.29,21.31,27.58,79.96,5.99,52.59,mungbean
28.3,46.09,23.47,28.98,89.04,6.35,47.28,mungbean
17.4,46.07,19.38,28.97,85.11,6.86,51.9,mungbean
40.97,45.53,17.65,28.68,82.99,7.07,45.73,mungbean
23.97,44.55,21.8,28.38,83.4,7.12,42.15,mungbean
27.72,51.58,15.92,28.86,82.36,6.91,41.48,mungbean
31.83,54.41,22.15,28.69,84.42,6.56,56.69,mungbean
23.13,41.02,21.66,27.9,82.62,6.34,44.48,mungbean
26.98,49.02,22.38,28.9,84.52,6.65,50.69,mungbean
35.45,48.29,18.83,27.76,81.39,6.87,51.11,mungbean
31.11,46.7,23.52,28.14,87.39,6.69,43.7,mungbean
31.2,50.06,20.89,28.56,84.91,7.3,54.9,mungbean
32.02,48.2,22.52,28.89,85.07,6.62,46.99,mungbean
7.68,48.82,18.78,29.69,85.05,6.4,47.19,mungbean
20.96,50.46,20.73,29.22,83.02,6.71,38.97,mungbean
31.88,50.74,21.24,28.5,86.04,7.1,45.72,mungbean
28.37,40.71,17.83,28.57,87.76,6.64,46.03,mungbean
24.96,44.16,20.74,27.38,88.2,6.53,52.01,mungbean
19.56,51.68,21.68,28.79,82.51,6.76,40.11,mungbean
25.92,53.93,21.99,28.51,82.56,6.86,47.62,mungbean
13.0,52.39,19.94,29.4,82.26,5.91,49.24,mungbean
29.32,36.93,17.55,30.57,84.24,6.88,43.43,mungbean
14.44,46.44,19.34,28.2,84.71,6.77,46.56,mungbean
19.6,50.54,15.13,26.96,86.85,6.83,47.14,mungbean
18.78,43.08,19.34,27.3,83.15,6.86,56.42,mungbean
24.88,52.23,15.21,28.99,82.99,6.78,45.95,mungbean
35.75,42.03,21.57,28.29,84.6,6.65,42.21,mungbean
27.41,47.11,20.6,28.56,86.99,6.93,40.93,mungbean
32.93,40.09,21.47,28.96,80.22,6.72,44.57,mungbean
22.76,55.94,18.37,27.9,85.19,6.87,46.61,mungbean
34.79,50.82,14.55,28.1,83.6,6.82,31.09,mungbean
43.43,50.82,20.37,29.39,90.86,6.92,53.43,mungbean
28.32,46.62,18.81,27.88,83.28,6.36,47.03,mungbean
16.97,48.69,19.91,28.61,83.69,7.47,56.0,mungbean
19.72,48.96,18.48,27.74,81.65,6.81,43.24,mungbean
33.55,53.71,23.43,27.86,86.19,6.86,44.54,mungbean
22.68,57.56,20.57,28.98,82.94,6.4,43.94,mungbean
26.72,40.85,19.98,27.23,82.2,6.87,51.27,mungbean
45.05,61.14,17.43,29.07,69.92,7.45,65.64,blackgram
40.29,69.17,17.94,28.7,72.47,7.42,68.09,blackgram
39.55,68.82,22.66,29.06,72.57,7.57,73.74,blackgram
49.41,71.17,23.54,31.12,65.62,7.0,68.39,blackgram
39.43,66.6,22.74,24.52,73.25,7.51,65.78,blackgram
50.9,67.52,23.07,32.46,62.25,7.34,66.73,blackgram
48.02,62.95,24.37,32.6,64.73,6.72,66.05,blackgram
50.22,69.0,23.13,31.97,71.14,7.26,62.29,blackgram
46.28,74.13,19.87,31.26,66.3,6.82,67.04,blackgram
49.43,63.4,19.41,27.65,71.7,7.05,72.95,blackgram
57.05,66.99,17.48,24.79,61.98,6.7,72.67,blackgram
48.22,69.94,14.45,27.01,70.83,7.24,66.95,blackgram
51.03,77.72,19.45,30.17,68.22,7.93,59.63,blackgram
51.77,66.78,21.42,28.36,67.32,7.38,79.17,blackgram
52.55,62.2,18.94,28.87,60.77,7.04,70.25,blackgram
39.54,74.05,21.22,28.16,66.97,7.67,70.25,blackgram
47.55,66.01,20.19,28.72,59.61,7.81,68.08,blackgram
49.99,67.14,18.16,29.54,61.5,7.89,62.87,blackgram
41.05,64.75,23.22,30.04,62.86,7.56,70.24,blackgram
50.87,71.97,25.99,35.46,64.92,7.68,68.94,blackgram
50.62,56.92,19.57,27.97,70.61,7.5,59.72,blackgram
47.36,74.51,19.53,31.82,68.82,7.26,66.48,blackgram
39.9,60.49,21.77,30.05,66.98,7.01,66.36,blackgram
54.04,65.4,16.65,31.86,66.73,7.16,73.53,blackgram
47.37,69.31,17.05,29.45,69.79,6.64,68.25,blackgram
48.13,67.76,22.59,30.84,73.04,6.83,68.01,blackgram
48.03,60.82,22.39,35.81,67.44,7.31,67.82,blackgram
43.04,56.12,18.24,26.52,73.89,7.11,66.2,blackgram
53.06,60.49,18.08,30.17,71.36,7.31,68.43,blackgram
47.99,70.0,20.5,27.43,67.67,6.8,67.8,blackgram
44.5,83.37,19.9,26.49,67.0,7.32,73.78,blackgram
43.82,57.61,22.04,26.55,65.86,7.07,67.24,blackgram
51.81,63.23,19.32,29.96,68.06,7.18,69.14,blackgram
52.77,69.95,21.13,26.04,67.69,7.31,70.23,blackgram
43.17,63.38,18.56,31.34,71.38,7.02,70.9,blackgram
48.27,66.72,19.47,31.87,68.72,7.89,64.3,blackgram
50.74,64.19,17.83,29.97,68.02,8.1,66.81,blackgram
40.44,69.21,14.81,29.77,67.56,7.41,71.15,blackgram
44.35,66.56,18.08,27.18,68.66,6.74,65.95,blackgram
41.28,70.94,24.5,26.75,60.55,7.11,67.56,blackgram
48.87,64.71,19.5,30.92,71.4,6.51,66.12,blackgram
48.84,61.76,24.33,28.41,67.35,7.33,65.28,blackgram
35.96,64.82,22.57,29.16,64.33,7.45,66.26,blackgram
44.31,68.43,21.93,35.95,70.6,7.53,65.6,blackgram
41.09,67.89,20.27,27.3,66.84,7.28,68.85,blackgram
50.65,69.32,18.73,28.72,63.0,7.73,67.55,blackgram
46.09,61.7,27.34,27.32,65.89,7.29,69.75,blackgram
53.49,78.8,21.27,27.36,66.54,7.25,75.26,blackgram
38.76,75.02,20.45,32.09,67.12,6.88,70.32,blackgram
51.59,73.58,19.97,28.5,61.65,7.42,69.09,blackgram
41.46,64.13,18.83,26.29,64.43,6.78,65.95,blackgram
42.88,57.33,25.06,33.13,64.58,7.24,69.07,blackgram
54.94,62.38,22.73,28.63,62.49,7.39,72.34,blackgram
63.67,60.0,21.75,28.98,70.44,6.67,62.76,blackgram
42.65,67.99,18.4,31.65,71.35,7.34,73.57,blackgram
50.1,59.89,23.41,28.49,70.91,7.66,69.21,blackgram
38.15,61.76,23.31,29.58,67.8,7.4,70.11,blackgram
49.24,66.2,19.22,32.14,69.58,7.07,71.56,blackgram
46.69,62.18,18.1,27.55,66.48,7.55,64.48,blackgram
48.68,63.4,19.35,26.22,66.67,7.09,69.53,blackgram
48.9,60.01,22.71,30.53,68.24,7.15,65.56,blackgram
48.86,70.47,15.63,28.65,66.54,7.23,71.97,blackgram
42.68,64.39,18.72,28.0,66.2,7.4,63.55,blackgram
50.17,56.86,18.6,29.18,73.78,7.06,59.25,blackgram
35.01,67.71,21.53,30.94,68.13,7.53,65.48,blackgram
53.09,57.3,17.74,25.48,66.47,7.13,67.93,blackgram
47.89,61.7,19.52,26.26,72.61,7.05,65.67,blackgram
57.43,59.74,17.19,27.26,67.25,7.29,70.27,blackgram
63.57,53.44,21.52,28.61,65.3,6.95,64.09,blackgram
58.03,72.76,20.06,33.38,61.83,6.72,59.33,blackgram
43.13,68.51,20.26,30.37,62.21,7.41,68.4,blackgram
52.08,55.67,20.78,27.03,66.01,7.32,67.84,blackgram
42.18,67.54,16.17,32.88,66.73,7.51,65.53,blackgram
44.23,62.72,22.19,28.23,69.92,7.03,60.09,blackgram
43.94,60.13,20.08,27.02,70.97,7.12,66.83,blackgram
51.6,73.52,19.95,28.07,60.85,6.93,65.19,blackgram
48.17,65.34,21.72,28.47,67.29,7.53,68.78,blackgram
47.12,63.74,18.42,27.87,65.47,7.4,66.67,blackgram
39.06,78.55,20.8,26.48,65.84,7.19,73.89,blackgram
40.57,73.6,23.5,28.43,66.46,6.81,66.74,blackgram
47.27,71.62,22.73,28.13,60.12,7.14,68.6,blackgram
49.06,65.46,20.31,33.79,68.93,7.03,65.62,blackgram
46.44,77.73,19.54,29.95,65.69,7.51,74.85,blackgram
50.32,68.02,20.09,24.04,70.29,7.19,69.11,blackgram
43.05,65.1,18.97,32.55,66.08,7.83,69.12,blackgram
39.53,66.7,18.37,24.51,73.5,7.38,69.5,blackgram
48.53,58.86,18.79,32.1,63.56,6.33,66.65,blackgram
46.61,68.35,21.82,31.59,68.47,7.54,61.8,blackgram
50.65,71.42,16.9,26.24,64.7,6.93,70.33,blackgram
43.66,62.15,18.47,32.8,67.55,7.09,67.09,blackgram
55.58,62.82,23.29,30.53,66.9,7.96,63.54,blackgram
45.29,59.8,22.38,34.22,73.76,7.55,66.76,blackgram
45.22,57.06,25.09,31.17,65.66,7.58,63.85,blackgram
50.04,66.42,21.6,29.84,62.06,7.17,71.43,blackgram
47.32,72.34,17.39,29.93,65.16,7.39,67.62,blackgram
51.81,74.3,21.73,30.68,63.76,7.15,65.5,blackgram
45.35,65.16,17.55,25.11,64.99,7.21,62.44,blackgram
47.6,79.38,22.56,34.11,68.97,7.53,64.79,blackgram
43.47,50.38,22.97,33.85,65.43,7.07,64.67,blackgram
49.89,74.53,15.64,31.02,66.46,7.19,69.22,blackgram
26.32,66.85,19.47,26.91,66.05,6.51,38.65,lentil
25.13,73.12,20.09,25.98,69.42,6.74,45.47,lentil
24.31,51.54,19.58,23.02,65.98,6.41,43.4,lentil
16.38,61.63,21.19,29.15,64.76,6.54,49.76,lentil
22.43,69.79,18.15,26.59,65.38,6.53,41.09,lentil
31.92,80.53,17.48,22.98,65.58,6.67,42.2,lentil
9.79,75.99,21.9,18.77,63.48,6.88,52.24,lentil
33.37,66.4,20.21,23.61,67.82,6.21,40.97,lentil
33.81,67.22,23.45,21.99,64.86,6.2,45.04,lentil
18.26,64.45,16.41,26.08,66.79,5.97,51.67,lentil
43.11,67.79,18.4,32.47,61.7,6.46,45.9,lentil
35.91,69.75,18.75,21.15,64.15,6.17,45.24,lentil
23.97,58.16,23.14,22.51,61.83,6.4,45.34,lentil
16.58,69.57,17.38,29.13,66.31,6.34,41.27,lentil
26.84,71.33,19.94,23.35,65.15,6.28,43.28,lentil
14.46,73.59,20.75,21.68,69.75,6.47,39.82,lentil
32.85,69.99,20.99,22.72,66.13,6.38,47.78,lentil
15.59,64.79,24.31,21.7,63.49,6.33,38.93,lentil
13.7,66.06,20.34,23.84,64.64,6.46,50.11,lentil
26.31,63.91,19.3,25.74,68.53,6.28,45.49,lentil
29.61,61.3,20.05,19.6,60.58,6.55,43.08,lentil
28.76,67.39,17.56,23.86,61.92,6.83,38.22,lentil
26.28,60.99,21.43,23.01,63.7,6.68,45.15,lentil
30.73,61.37,16.49,24.32,64.2,6.62,44.6,lentil
28.78,57.35,24.72,23.51,66.74,6.22,46.54,lentil
19.36,70.33,19.11,24.09,66.74,6.11,41.58,lentil
30.36,80.61,19.65,25.77,64.73,6.98,36.26,lentil
28.09,57.34,13.73,24.89,65.35,6.37,44.47,lentil
46.86,65.89,21.28,22.05,65.74,6.38,42.95,lentil
38.87,74.86,20.34,17.09,64.1,7.19,43.85,lentil
34.4,76.51,20.55,21.47,58.91,6.64,40.93,lentil
28.6,59.69,19.34,24.1,65.67,6.14,50.98,lentil
23.77,57.03,19.73,24.1,65.4,6.82,43.82,lentil
26.75,60.61,22.05,24.55,63.95,5.93,52.22,lentil
19.83,63.8,20.9,20.41,61.27,5.87,48.6,lentil
24.09,85.8,17.51,21.24,63.59,6.52,42.65,lentil
31.33,61.38,16.55,18.61,59.44,6.31,43.5,lentil
23.55,75.27,23.07,23.0,60.52,6.29,42.0,lentil
23.39,63.14,18.37,22.84,63.41,6.51,46.8,lentil
21.81,75.44,17.55,19.15,65.95,6.23,46.61,lentil
12.48,76.2,21.68,19.5,61.3,6.91,41.31,lentil
